"UNIT NUMBER","total_predicted_cost","total_actual_cost","avg_repair_duration","work_order_count","last_service_date","strategy","estimated_savings"
"12200518",1216.1223555339,1030.89575,20,3,12-02-24,"Keep as-it is",0
"12200519",2651.20374152905,2670.12395,6.2,5,12-09-24,"Keep as-it is",0
"12200520",2828.45108353614,3035.656475,0,6,12-12-24,"Keep as-it is",0
"12200521",3127.57229525436,3542.982025,30.625,8,11-08-24,"Monitor Closely",312.757229525436
"12200522",393.593716423897,371.035,0,2,12-09-24,"Keep as-it is",0
"12200523",1128.89923952825,362.9545,9.33333333333333,3,10-02-24,"Keep as-it is",0
"12200524",464.761523233801,512.877375,0,2,5-01-24,"Keep as-it is",0
"12200525",5855.96451563633,6787.38625,8.85714285714286,14,9-12-24,"Monitor Closely",585.596451563633
"12200526",2597.41139844934,2481.233686,23.7777777777778,9,10-10-24,"Monitor Closely",259.741139844934
"12200527",1431.01316357033,835.023611,7.75,4,11-04-24,"Keep as-it is",0
"12200528",4631.36151328645,4092.08764,40.5555555555556,9,12-04-24,"Monitor Closely",463.136151328645
"12200529",2439.79332205136,1722.180643,0,6,11-08-24,"Keep as-it is",0
"12200530",3915.34038347142,3293.87105655,27.6,10,8-11-24,"Monitor Closely",391.534038347142
"12200531",5633.20988304422,3932.38048115,101.666666666667,9,11-04-24,"Consider Replacement",1408.30247076105
"12200532",2945.66541156363,1585.32686016,40.5,6,9-03-24,"Monitor Closely",294.566541156363
"12200533",3300.66802131555,3453.5189122575,30.6666666666667,6,7-03-24,"Monitor Closely",330.066802131555
"12200534",11872.8757090907,11364.047567724,77.65,20,11-08-24,"Consider Replacement",2968.21892727267
"12200535",2487.83560920577,2424.726825,60.5,2,11-04-24,"Monitor Closely",248.783560920577
"12200575",3407.53525716075,9753.634445,11.6,5,9-03-24,"Monitor Closely",340.753525716075
"12200576",7365.59660899652,9231.867856,7.33333333333333,21,9-11-24,"Monitor Closely",736.559660899652
"12200577",8833.24506554769,8134.611058806,142.894736842105,19,12-04-24,"Consider Replacement",2208.31126638692
"12200578",1731.8036910739,1361.8229752425,47.4285714285714,7,7-01-24,"Monitor Closely",173.18036910739
"12200579",6541.30454394719,5733.476798694,57.375,16,12-10-24,"Consider Replacement",1635.3261359868
"12200580",5709.99670519233,8254.9254040485,67.3076923076923,13,11-11-24,"Consider Replacement",1427.49917629808
"12200581",3384.74141841871,2792.347459179,138.888888888889,9,12-03-24,"Monitor Closely",338.474141841871
"12200583",8314.57291705123,7530.7959346455,43.7857142857143,14,12-05-24,"Monitor Closely",831.457291705123
"12200584",1214.59615087722,1151.186166306,91,4,4-02-24,"Monitor Closely",121.459615087722
"12200585",2886.12979034605,2743.720334,10.3333333333333,9,12-10-24,"Keep as-it is",0
"12200586",8529.49295331472,7576.236445546,8.55555555555555,18,10-07-24,"Monitor Closely",852.949295331472
